DATE,GDP
2004-01-01,11920.169
2004-04-01,12108.987
2004-07-01,12303.34
2004-10-01,12522.425
2005-01-01,12761.337
2005-04-01,12910.021999999999
2005-07-01,13142.873
2005-10-01,13332.316
2006-01-01,13603.933
2006-04-01,13749.806
2006-07-01,13867.469
2006-10-01,14037.228000000001
2007-01-01,14208.569
2007-04-01,14382.363000000001
2007-07-01,14535.003
2007-10-01,14681.501
2008-01-01,14651.038999999999
2008-04-01,14805.611
2008-07-01,14835.187
2008-10-01,14559.543
2009-01-01,14394.546999999999
2009-04-01,14352.85
2009-07-01,14420.312
2009-10-01,14628.021
2010-01-01,14721.35
